iter	RMSE
0	0.4348907396
1	0.4334313427
2	0.4324213813
3	0.4310000347
4	0.4293677638
5	0.4277909695
6	0.4269548936
7	0.424801374
8	0.4227954137
9	0.420684058
10	0.419209816
11	0.4177550941
12	0.4170381405
13	0.414909712
14	0.4131177679
15	0.4116478242
16	0.4097615695
17	0.4081988829
18	0.4067300306
19	0.4050485379
20	0.402829237
21	0.4008256024
22	0.3989586867
23	0.3969834853
24	0.3948960097
25	0.3942021385
26	0.3927886495
27	0.3915987859
28	0.3906222199
29	0.3899618229
30	0.3879958154
31	0.3862405963
32	0.3853026005
33	0.3845518546
34	0.3839041305
35	0.3818615051
36	0.379778918
37	0.3784843985
38	0.3769043238
39	0.3752076988
40	0.3737431874
41	0.3727300401
42	0.371321129
43	0.3697756593
44	0.3690505147
45	0.3686844261
46	0.367607321
47	0.3669718198
48	0.3652385494
49	0.3642502231
50	0.3625488257
51	0.3619144692
52	0.3610074741
53	0.359849265
54	0.358948853
55	0.3573778317
56	0.356569391
57	0.3554639856
58	0.3538098669
59	0.3526136216
60	0.3511907883
61	0.3511907871
62	0.3494494071
63	0.3485090288
64	0.3475009262
65	0.3465427387
66	0.3451755679
67	0.3441407618
68	0.3429064931
69	0.341792185
70	0.3417921832
71	0.3404289832
72	0.3394194479
73	0.3386534348
74	0.3375058554
75	0.3367770743
76	0.3367770724
77	0.3353550424
78	0.3345306691
79	0.333502362
80	0.3326685146
81	0.3320343882
82	0.3303483352
83	0.3297781792
84	0.3294794913
85	0.3287267869
86	0.3273987013
87	0.3260525897
88	0.3256723871
89	0.324962935
90	0.3239863673
91	0.3231581679
92	0.3222669337
93	0.3211569122
94	0.3203481396
95	0.3200460255
96	0.31938972
97	0.3183797327
98	0.3173350312
99	0.315923035
100	0.3151168371
101	0.3139236678
102	0.3130562245
103	0.3120494018
104	0.3116832226
105	0.3110873937
106	0.3103232078
107	0.3097960591
108	0.3089597695
109	0.3074505742
110	0.3069080007
111	0.305923849
112	0.3052107399
113	0.3043850156
114	0.3029380182
115	0.3025942107
116	0.3016715815
117	0.3010281431
118	0.3007466768
119	0.3000991124
120	0.2994208182
121	0.2986152451
122	0.2977162442
123	0.2973302767
124	0.2967465805
125	0.2959405945
126	0.294900887
127	0.2940867814
128	0.2930050328
129	0.2916945517
130	0.2915837879
131	0.2912584748
132	0.2901950558
133	0.2895984133
134	0.2885717124
135	0.2880968965
136	0.2877145012
137	0.2869983448
138	0.2869983415
139	0.2860166463
140	0.2853300639
141	0.2846019925
142	0.2839169567
143	0.283916953
144	0.2836655536
145	0.2826830891
146	0.2822791647
147	0.2813362984
148	0.2809569983
149	0.2799956063
150	0.2796404386
151	0.2793232235
152	0.2783398366
153	0.2780808325
154	0.2773484796
155	0.2767129894
156	0.2765301522
157	0.2756859132
158	0.275164539
159	0.2744728207
160	0.273859461
161	0.2733809666
162	0.2724262381
163	0.2713069277
164	0.2707435381
165	0.2701118079
166	0.2697684144
167	0.2692963822
168	0.2687175969
169	0.2676556322
170	0.2670860517
171	0.2666042121
172	0.2660127304
173	0.2654248195
174	0.2647322271
175	0.2638959647
176	0.2630570645
177	0.2624518391
178	0.2620720139
179	0.2617716189
180	0.2611036048
181	0.2608251993
182	0.2606535324
183	0.2599091812
184	0.2593610821
185	0.258889099
186	0.2580692968
187	0.2576168115
188	0.2570544085
189	0.2561811542
190	0.2558965859
191	0.2554537339
192	0.2549544343
193	0.2548418356
194	0.2542757512
195	0.2538099152
196	0.2531125864
197	0.2523687192
198	0.2520166502
199	0.2512992651
200	0.2510364617
201	0.2506182229
202	0.2500065349
203	0.2493676086
204	0.2491617261
205	0.248455522
206	0.247581218
207	0.2474419413
208	0.2469294324
209	0.2464478754
210	0.2459362272
211	0.2456774772
212	0.245453432
213	0.2451191944
214	0.2446829548
215	0.2445024474
216	0.2443069795
217	0.2442115238
218	0.2437327686
219	0.2433832084
220	0.2430286698
221	0.2425923563
222	0.2420334908
223	0.2417158305
224	0.2410897107
225	0.2407159152
226	0.240278504
227	0.2401905495
228	0.2397530635
229	0.239518997
230	0.2391593374
231	0.238935541
232	0.2386833954
233	0.2385795456
234	0.2384008722
235	0.2379678321
236	0.2373662682
237	0.2371257533
238	0.2367516781
239	0.2366037272
240	0.2361966281
241	0.236031625
242	0.2357056778
243	0.235312584
244	0.2351406731
245	0.2348377209
246	0.2344328317
247	0.2338137453
248	0.2335753357
249	0.2333683654
250	0.2330227604
251	0.2327096872
252	0.2324632824
253	0.2320558579
254	0.2319195734
255	0.2317929531
256	0.2314683765
257	0.2311982813
258	0.2308622318
259	0.2306522368
260	0.2303371009
261	0.2296787954
262	0.2293217306
263	0.2292186157
264	0.2288868557
265	0.2286080486
266	0.2282667263
267	0.227934011
268	0.2276600487
269	0.2273040652
270	0.2272288474
271	0.2269467505
272	0.2267844162
273	0.2262576169
274	0.2259570542
275	0.2256299369
276	0.22513285
277	0.22481651
278	0.2246480896
279	0.2241339202
280	0.2238203919
281	0.2234829423
282	0.2233615233
283	0.2230281461
284	0.2225637676
285	0.2222297465
286	0.2219089487
287	0.221586983
288	0.2212765486
289	0.2209421635
290	0.2206506657
291	0.2204929201
292	0.2200434202
293	0.2199365443
294	0.2196961786
295	0.2192116629
296	0.2189686163
297	0.2187391802
298	0.2186524873
299	0.2185002709
300	0.2181129964
301	0.2181129897
302	0.2179709216
303	0.2176940953
304	0.2174488129
305	0.2173139475
306	0.2173139411
307	0.2170194418
308	0.2165005105
309	0.216131348
310	0.215876136
311	0.2156356567
312	0.2155383927
313	0.2153263417
314	0.2151980669
315	0.2149584544
316	0.2148366835
317	0.2144112603
318	0.2141107843
319	0.2137122557
320	0.2137004236
321	0.2134520133
322	0.2130678203
323	0.2130002891
324	0.2129234059
325	0.2128695006
326	0.2123901197
327	0.2121565821
328	0.2116661556
329	0.2114523105
330	0.2112318928
331	0.211222966
332	0.2109821861
333	0.2109821796
334	0.2107804328
335	0.2107643933
336	0.2105418273
337	0.2102907055
338	0.2100904003
339	0.2099874996
340	0.209794178
341	0.2095571213
342	0.2092341978
343	0.2088686862
344	0.2087688506
345	0.2087218974
346	0.2085052343
347	0.2084096663
348	0.2082071947
349	0.2081511309
350	0.2080063574
351	0.2077128868
352	0.2075221726
353	0.2072392618
354	0.2070329867
355	0.2068369139
356	0.2067555549
357	0.2066551506
358	0.2064467753
359	0.2063280775
360	0.206151931
361	0.2059214749
362	0.2057024402
363	0.2055247885
364	0.2053110404
365	0.2052328282
366	0.2050261791
367	0.2049644034
368	0.2047731375
369	0.2045449057
370	0.2041860007
371	0.2041046457
372	0.2040221594
373	0.2039339774
374	0.2037473018
375	0.2034999087
376	0.2034452124
377	0.2033722243
378	0.2030449678
379	0.2030008095
380	0.2029186272
381	0.2027152069
382	0.2025723362
383	0.2023826057
384	0.2022877099
385	0.2020167433
386	0.2018816461
387	0.2018816411
388	0.2017090363
389	0.2013699038
390	0.2011824988
391	0.2010004215
392	0.2008145432
393	0.2005559454
394	0.2003688562
395	0.2003688521
396	0.2000677181
397	0.1997959864
398	0.1996360275
399	0.1994439155
400	0.1992775151
401	0.1991277166
402	0.1990374209
403	0.198972276
404	0.1988230284
405	0.1986437467
406	0.1984754085
407	0.1981797654
408	0.1980390469
409	0.1978937093
410	0.1978017167
411	0.1976229698
412	0.1973036404
413	0.1972573425
414	0.1970760513
415	0.1969168383
416	0.1967744088
417	0.1967186181
418	0.196647192
419	0.1964722903
420	0.1964245881
421	0.1962741707
422	0.1962096639
423	0.1961297933
424	0.1959207332
425	0.1958786133
426	0.1955934351
427	0.1954589711
428	0.1953228816
429	0.1951322418
430	0.194996303
431	0.1948325464
432	0.1947900161
433	0.1946485072
434	0.1943919298
